frame_index,joint_0_x,joint_0_y,joint_0_z,joint_1_x,joint_1_y,joint_1_z,joint_2_x,joint_2_y,joint_2_z,joint_3_x,joint_3_y,joint_3_z,joint_4_x,joint_4_y,joint_4_z,joint_5_x,joint_5_y,joint_5_z,joint_6_x,joint_6_y,joint_6_z,joint_7_x,joint_7_y,joint_7_z,joint_8_x,joint_8_y,joint_8_z,joint_9_x,joint_9_y,joint_9_z,joint_10_x,joint_10_y,joint_10_z,joint_11_x,joint_11_y,joint_11_z,joint_12_x,joint_12_y,joint_12_z,joint_13_x,joint_13_y,joint_13_z,joint_14_x,joint_14_y,joint_14_z,joint_15_x,joint_15_y,joint_15_z,joint_16_x,joint_16_y,joint_16_z,joint_17_x,joint_17_y,joint_17_z,joint_18_x,joint_18_y,joint_18_z,joint_19_x,joint_19_y,joint_19_z,joint_20_x,joint_20_y,joint_20_z,joint_21_x,joint_21_y,joint_21_z,joint_22_x,joint_22_y,joint_22_z,joint_23_x,joint_23_y,joint_23_z
0,-246.57193,-215.64185,3458.6575,-244.22942,-157.77818,3489.1294,-244.64275,-153.01192,3484.0117,-256.58395,-275.41577,3419.5422,-208.71431,106.2324,3633.4062,-254.52803,126.931786,3616.2695,-258.0454,-336.02206,3391.318,-160.52605,420.41757,3717.9868,-227.9523,442.13037,3704.8982,-265.25037,-355.9169,3371.89,-104.3032,644.88275,3709.0742,-221.04228,665.269,3699.2976,-269.7859,-472.56982,3339.3691,-262.2445,-412.5772,3374.2031,-260.80008,-413.009,3373.9458,-270.9039,-526.7388,3337.029,-266.4598,-439.604,3359.4844,-262.17615,-439.65118,3343.261,-238.78215,-326.56784,3401.6672,-254.41243,-341.64932,3378.9517,-241.74463,-229.72197,3362.6328,-265.29877,-273.8189,3343.8547,-221.52812,-189.36319,3355.4712,-236.2712,-231.20012,3333.86
1,-250.32481,-263.2791,3669.4224,-244.39409,-206.09512,3701.0427,-253.1177,-200.12743,3696.3044,-263.8552,-323.1542,3630.6423,-193.36021,47.386414,3846.2258,-260.76077,70.665565,3827.3171,-265.6342,-379.73843,3600.722,-152.39102,363.389,3931.7961,-231.74483,382.10605,3916.0176,-273.61813,-398.48813,3579.0828,-83.16908,614.1265,3917.841,-215.7965,631.81635,3908.1257,-285.77448,-516.151,3548.134,-267.61856,-454.5437,3583.5051,-275.21176,-454.72653,3583.1372,-286.62723,-568.5957,3540.811,-270.26068,-483.07266,3566.8162,-293.85632,-484.8606,3551.8853,-240.36966,-372.3457,3605.8474,-286.32007,-386.7241,3581.8118,-232.94902,-275.12125,3556.89,-294.03687,-310.58853,3538.638,-213.64893,-231.04796,3549.1072,-264.44797,-264.01575,3526.9297
2,-165.63847,-243.96085,3579.822,-156.99164,-188.48749,3610.8735,-172.21709,-184.89468,3607.0044,-181.66055,-303.9146,3540.6843,-96.485634,68.6455,3753.654,-176.45555,87.400826,3735.4382,-186.25006,-357.47192,3512.2708,-61.527416,387.6063,3837.0825,-150.25182,404.901,3824.4575,-194.39326,-374.63712,3488.819,20.728727,648.5742,3819.3503,-130.2623,662.55524,3813.111,-221.8754,-489.64474,3460.0305,-194.82503,-429.06573,3494.7898,-208.62718,-430.7791,3496.2786,-222.03886,-539.9176,3450.5208,-196.51677,-456.96857,3475.278,-236.5209,-461.24136,3464.8015,-159.04018,-348.6248,3511.2556,-220.95801,-368.47214,3494.453,-144.54285,-250.26822,3457.6465,-222.94595,-289.87793,3443.1152,-127.38976,-206.09805,3448.9343,-197.34837,-240.03902,3430.89
3,-132.42967,-222.53152,3474.8462,-122.84613,-166.0117,3505.2566,-139.39728,-162.22037,3502.5996,-149.72057,-284.26544,3435.2485,-52.862362,98.15181,3646.6392,-136.51416,115.88821,3632.108,-155.82109,-339.0679,3406.5806,-17.696522,415.54385,3728.1223,-108.68229,432.61084,3718.5525,-164.4082,-356.2274,3382.7642,68.0532,675.4795,3709.0845,-84.597046,690.36224,3706.4597,-197.19566,-470.9139,3354.6094,-167.92043,-411.16885,3389.3953,-181.91202,-412.29044,3391.3164,-198.0658,-520.12384,3344.371,-169.35684,-438.80087,3368.6062,-207.68755,-441.1721,3359.7896,-128.69876,-332.68927,3403.5684,-185.80827,-347.50183,3390.608,-112.42742,-237.46484,3347.826,-186.38745,-271.26813,3337.2732,-98.11245,-194.62776,3338.048,-165.09656,-223.79268,3324.4172
4,-111.73354,-224.98804,3481.9785,-102.004295,-170.09691,3512.6536,-120.38857,-166.21466,3510.3826,-129.38289,-285.82184,3442.202,-33.836155,86.73156,3655.319,-122.40194,103.24511,3641.3574,-137.39847,-339.6969,3412.8762,-6.178333,405.11203,3738.3774,-98.854004,420.55328,3729.9375,-146.57877,-356.59308,3389.015,77.42342,674.30206,3718.6516,-75.23401,688.3427,3717.8552,-182.20935,-470.4689,3361.2622,-149.78026,-410.58273,3395.4517,-166.69353,-412.25104,3397.7961,-181.64293,-519.6774,3350.7754,-151.11433,-438.582,3373.906,-195.30205,-441.09787,3367.2207,-106.14422,-332.43805,3406.9727,-168.67528,-345.0106,3397.1392,-85.56579,-236.07603,3349.2126,-163.74374,-263.56235,3341.7559,-71.48765,-191.87842,3339.9666,-142.20355,-212.60208,3329.263
5,-107.27752,-213.30464,3421.8496,-98.40466,-156.40958,3452.7488,-115.15319,-152.25098,3450.14,-124.42269,-274.79428,3381.6384,-29.537872,104.60811,3593.7595,-115.32455,121.99139,3579.9902,-132.70122,-330.95206,3351.9883,2.8620636,421.33334,3675.786,-90.617424,437.13232,3668.2441,-141.08012,-347.978,3328.8464,85.69903,684.57214,3657.9778,-66.33723,694.0517,3657.3828,-176.49416,-461.74054,3301.3718,-145.70686,-402.27832,3335.533,-160.77502,-404.1854,3338.4373,-175.71465,-511.3978,3292.3403,-147.80975,-429.67227,3313.7876,-186.35086,-431.70068,3307.3113,-100.93522,-322.27487,3348.5122,-156.84341,-333.32208,3339.3748,-84.05248,-229.73396,3292.7676,-151.7387,-255.50035,3286.2097,-72.4558,-186.62566,3284.029,-132.84795,-205.14302,3272.9019
6,-93.5062,-205.74443,3363.983,-84.76421,-147.78564,3394.3875,-101.10047,-143.5825,3391.868,-110.94732,-268.31415,3323.061,-9.585132,121.127335,3535.2341,-96.79303,136.8191,3522.4114,-120.28863,-325.15198,3294.1316,25.054302,436.19003,3614.365,-69.13006,451.26743,3608.5774,-129.07404,-342.077,3270.7632,110.645935,694.22723,3595.5508,-41.9174,706.57416,3596.111,-167.80269,-454.7976,3242.8435,-136.74199,-396.22012,3278.0977,-150.13278,-398.3333,3280.7156,-167.47781,-504.0887,3234.346,-140.6369,-422.64023,3255.8772,-174.57828,-424.99094,3248.1614,-93.61162,-316.9047,3291.5388,-142.31636,-327.7485,3280.8474,-77.072525,-227.32727,3234.5867,-138.40398,-253.81041,3226.4907,-66.24638,-186.24901,3225.202,-122.15264,-206.22594,3212.3875
7,-88.50073,-202.49243,3348.1594,-79.72997,-143.18044,3379.0652,-96.38474,-138.88579,3376.7395,-105.84649,-267.15332,3305.8645,-0.0043426515,127.758545,3517.0117,-89.66935,142.99289,3504.412,-115.44368,-324.81512,3276.6606,36.37969,437.2071,3594.5427,-60.22715,453.04645,3588.4998,-124.24847,-341.8879,3253.1697,121.78857,691.1576,3575.531,-32.674664,705.0557,3576.8313,-166.49373,-455.49527,3225.371,-133.71756,-396.5618,3260.6792,-147.19125,-398.97226,3263.441,-165.36214,-504.44345,3216.8684,-138.58897,-422.73105,3238.0486,-172.72786,-425.84396,3231.05,-89.00911,-315.74313,3273.3884,-137.42273,-326.49673,3264.3757,-71.503624,-228.04546,3215.1116,-133.82193,-254.39302,3208.6333,-61.997425,-187.7393,3205.1052,-120.00476,-208.96878,3193.8481
8,-92.63587,-204.41873,3331.074,-83.95791,-143.79305,3362.7446,-100.461395,-139.12155,3360.1372,-109.93699,-269.87735,3287.6794,-2.135086,127.080666,3498.787,-94.289635,144.5841,3487.2935,-119.74646,-328.04156,3257.779,34.912025,433.97223,3574.9392,-64.36133,451.52945,3569.7234,-128.206,-345.1185,3233.9783,120.30635,686.68256,3555.7817,-35.857006,704.2116,3558.259,-171.76213,-458.85294,3205.9705,-138.33073,-399.65778,3241.599,-151.21495,-401.80835,3243.8667,-170.44186,-507.51007,3197.0105,-142.73303,-425.07248,3219.318,-177.0603,-428.7524,3211.0295,-91.777115,-317.62946,3255.0767,-141.77567,-329.67892,3244.8801,-70.825165,-232.86351,3195.2039,-136.32823,-260.21317,3188.2888,-61.59029,-193.41289,3184.2407,-122.89629,-216.94946,3172.0222
9,-97.63817,-203.06699,3336.897,-88.852066,-143.25293,3368.1802,-104.87142,-138.62146,3365.8396,-114.868065,-268.2726,3294.0723,-4.6997867,126.65448,3503.7703,-96.08666,146.47105,3492.156,-125.49072,-325.36963,3264.5974,35.470333,435.1063,3579.486,-64.91433,451.5239,3573.282,-134.57903,-342.32062,3241.016,125.76794,687.2651,3560.5625,-34.81831,704.1702,3562.486,-179.5209,-455.1126,3213.2156,-146.08835,-396.6124,3248.3696,-157.5063,-398.11856,3251.1917,-179.76308,-502.45792,3204.443,-152.39998,-422.00204,3226.5015,-182.87944,-425.54776,3218.4785,-100.84142,-314.5001,3261.036,-145.30563,-326.7894,3251.2197,-83.20494,-228.17308,3202.1042,-141.09601,-256.17657,3194.5894,-74.05279,-190.1287,3190.9949,-127.69308,-214.25967,3178.7969
