frame_index,left_shoulder_to_wrist_distance,right_shoulder_to_wrist_distance,left_elbow_speed,right_elbow_speed,left_wrist_speed,right_wrist_speed,left_hand_speed,right_hand_speed,left_tremor_amp_proxy,right_tremor_amp_proxy,upper_limb_lr_asymmetry
1,295.02878,299.10477,1455.8163,1958.9904,1108.1134,2401.228,1175.3662,2711.6672,272.50244,1480.7544,0.73695576
2,295.13535,300.55643,1758.3254,2087.3186,1771.2207,2193.113,1804.0894,2210.5186,77.475586,102.15759,0.212844
3,296.50314,301.90634,804.354,790.2632,777.763,781.3388,800.2158,774.7077,205.26794,327.3239,0.004587007
4,294.55408,300.16855,813.53467,644.19855,797.1118,678.92725,809.9916,703.6311,15.157471,195.29938,0.16013746
5,292.3639,299.008,482.41074,464.16013,331.95242,366.821,262.38284,288.08887,186.92932,128.47717,0.09979942
6,290.6204,297.68448,804.1205,561.5084,759.23315,534.40857,841.3372,507.11276,441.08398,129.32098,0.347584
7,290.79703,298.18665,251.02037,265.5289,240.95027,209.8272,228.04355,170.51704,137.84058,5.0875854,0.13808621
8,290.3937,297.8683,409.0952,293.40103,454.4022,272.31656,409.1915,256.73697,162.818,101.62079,0.50111717
9,292.92657,299.95645,711.36346,715.7714,754.2209,734.28046,720.47577,690.2243,176.30371,86.69815,0.026792625
10,292.56467,299.8339,826.4231,1067.8594,898.88574,1082.473,875.3876,1045.2917,290.60425,334.5784,0.18531452
11,291.08517,298.38712,606.2125,695.9117,516.40216,630.7531,539.97296,608.0529,204.53186,156.83731,0.19936438
12,292.14102,296.49182,1017.3687,1227.7212,872.47064,1449.7478,999.9073,1513.534,237.8656,1121.7502,0.4971773
13,291.51718,297.07568,883.7772,589.7097,837.1922,627.51587,861.1164,648.51514,42.76123,136.72134,0.28630462
14,290.67572,296.38913,220.96414,243.1781,261.24393,273.96408,276.1186,255.66643,34.157104,235.24902,0.047533497
15,291.04495,297.27158,141.06818,215.00961,146.82123,217.0635,104.485565,170.86534,181.37268,380.13885,0.38606885
16,291.50534,297.09485,298.58932,158.50923,287.4548,144.10884,279.8492,141.59071,48.972168,22.88742,0.6643097
17,289.59283,295.8723,338.41672,280.19745,418.93506,369.95413,436.1626,409.0492,289.58008,265.5568,0.12417696
18,290.76434,296.20523,945.75867,877.5858,885.8784,854.29926,897.31415,853.8279,60.757446,166.12,0.03629418
19,290.49542,296.109,638.0692,440.83936,649.78986,440.2252,640.5304,433.9546,99.018555,139.62097,0.384517
20,290.9066,296.85547,374.77988,380.616,330.60538,359.72205,350.3971,379.23184,78.5968,0.24780273,0.084356114
21,289.94388,295.77667,947.65027,820.2972,890.8766,762.09784,886.50385,742.70245,253.42163,213.54202,0.15581457
22,290.08554,296.43033,126.74775,243.96927,238.64983,346.07465,246.69524,336.75143,139.5459,316.07437,0.3674374
23,290.17664,296.56,222.21085,175.1364,229.33383,176.69319,246.7766,199.56932,27.125854,48.792267,0.25929624
24,296.31985,299.86758,1438.0549,1147.302,1324.7456,1085.1624,1380.8429,972.98016,130.90149,1018.52466,0.19883187
25,297.3901,300.69016,585.27563,702.7763,546.23425,783.50366,562.9651,813.4672,14.777222,265.77606,0.35686642
