frame_index,joint_0_x,joint_0_y,joint_0_z,joint_1_x,joint_1_y,joint_1_z,joint_2_x,joint_2_y,joint_2_z,joint_3_x,joint_3_y,joint_3_z,joint_4_x,joint_4_y,joint_4_z,joint_5_x,joint_5_y,joint_5_z,joint_6_x,joint_6_y,joint_6_z,joint_7_x,joint_7_y,joint_7_z,joint_8_x,joint_8_y,joint_8_z,joint_9_x,joint_9_y,joint_9_z,joint_10_x,joint_10_y,joint_10_z,joint_11_x,joint_11_y,joint_11_z,joint_12_x,joint_12_y,joint_12_z,joint_13_x,joint_13_y,joint_13_z,joint_14_x,joint_14_y,joint_14_z,joint_15_x,joint_15_y,joint_15_z,joint_16_x,joint_16_y,joint_16_z,joint_17_x,joint_17_y,joint_17_z,joint_18_x,joint_18_y,joint_18_z,joint_19_x,joint_19_y,joint_19_z,joint_20_x,joint_20_y,joint_20_z,joint_21_x,joint_21_y,joint_21_z,joint_22_x,joint_22_y,joint_22_z,joint_23_x,joint_23_y,joint_23_z
0,-13.394885,-20.291668,1707.7783,-19.24652,48.13545,1712.6965,-9.580842,50.198715,1720.0775,-12.206058,-104.49017,1683.7152,-28.157017,323.96735,1789.956,-35.271023,322.5397,1799.8798,-20.073393,-201.91374,1671.4066,-2.1584656,653.0256,1880.9794,-52.040478,648.56757,1887.3285,-21.899885,-229.69466,1665.3684,6.739217,747.3337,1904.0872,-56.21347,742.95557,1917.111,-15.075409,-364.61014,1672.9283,-27.483997,-299.7606,1657.2354,-9.111484,-299.04892,1669.536,-9.2310705,-428.07773,1666.0231,-54.00987,-318.0206,1666.9872,17.684315,-312.11774,1696.8547,-39.083767,-163.6209,1685.9945,45.35699,-161.00578,1737.997,-33.86014,-33.14646,1682.933,92.23883,-27.138046,1755.012,-36.443325,12.801811,1688.2867,106.04064,20.972042,1762.0309
1,-1.5289013,-11.93024,1677.9485,-3.9873993,55.52418,1682.7992,-0.9135189,56.92334,1692.393,-1.3783493,-96.24583,1654.2389,-10.372914,329.805,1760.3102,-29.934488,326.27,1773.7445,-8.769696,-194.03337,1641.1034,15.276256,660.342,1854.1227,-38.863342,655.1037,1862.9813,-10.465958,-221.23753,1633.5258,21.658045,750.9615,1875.0754,-43.688152,745.8842,1892.1348,-7.9021797,-355.89505,1640.1881,-15.505297,-291.46524,1623.0406,-3.1546524,-291.2415,1638.6526,-1.9212509,-419.01227,1630.252,-34.048428,-307.90002,1630.6044,19.334097,-303.00732,1666.8949,-11.600949,-151.83102,1650.1302,47.349377,-149.97108,1708.2294,-7.6420465,-22.307741,1645.6998,90.25541,-18.251366,1719.8115,-10.5191145,25.449598,1649.1125,101.78003,30.106293,1725.0419
2,-0.6514298,-7.9366426,1633.1093,-1.3492359,58.321827,1639.4006,0.0851799,59.634834,1648.8164,-0.7163071,-90.99764,1608.8573,-4.1920867,328.9645,1717.2538,-23.84138,323.91818,1732.7913,-8.336482,-188.80028,1596.2709,20.014324,656.908,1812.3411,-29.720423,651.1174,1822.5465,-10.302942,-215.46672,1587.8094,25.129133,744.4362,1833.5731,-34.4947,738.65546,1852.5446,-7.6602225,-347.68637,1596.8033,-14.671092,-285.05576,1579.0117,-3.4554813,-284.64145,1594.0283,-1.6983299,-409.85822,1584.3778,-32.0706,-300.18262,1586.8372,18.496227,-295.3851,1621.5576,-8.244602,-143.81784,1604.4996,41.316437,-142.34238,1657.7015,-3.2804596,-16.890524,1599.1006,83.72692,-13.992887,1667.6625,-4.9404755,30.556232,1602.8235,96.090866,33.71076,1672.5885
3,-0.08793221,-7.30803,1629.5854,-0.71400833,58.813873,1635.7737,0.7162983,60.145557,1645.2805,-0.22177735,-90.408585,1605.3328,-2.8753908,329.2928,1713.3379,-23.462717,324.19284,1729.0878,-7.638509,-188.0824,1592.6932,21.588614,657.1221,1808.512,-29.27716,651.7297,1818.9164,-9.515261,-214.7983,1584.164,26.492563,744.7059,1829.5393,-33.916542,739.1595,1848.9086,-7.3592453,-347.5177,1593.4221,-13.820914,-284.7413,1575.3431,-3.2175655,-284.27576,1590.6354,-1.4061455,-409.61798,1580.8602,-30.903183,-299.82568,1583.0702,18.747238,-295.06595,1618.3043,-7.707476,-143.06844,1600.8099,42.171177,-141.69325,1654.5774,-2.2963104,-15.67986,1595.2714,84.64422,-12.855792,1664.7133,-3.0824807,32.078487,1599.1654,97.21792,35.190784,1669.4749
4,0.676511,-7.882402,1632.111,0.06002884,58.450317,1638.0844,1.0177408,59.685772,1647.9325,0.7437584,-91.28457,1607.9584,-2.8191946,329.52985,1715.5375,-25.096937,324.37982,1731.5057,-6.536983,-189.50424,1595.0176,21.437046,657.867,1810.9922,-31.46762,651.7269,1821.6178,-8.202036,-216.33842,1586.4697,26.837738,745.31506,1831.8684,-36.020145,739.6046,1851.7441,-5.9909544,-349.16318,1595.3616,-12.097925,-286.10538,1577.1918,-2.2245765,-285.78204,1592.8551,-0.0564888,-411.2505,1582.6428,-28.461475,-300.96762,1584.4509,18.856373,-296.56274,1620.8773,-5.4745836,-144.3763,1602.1335,42.525547,-143.03438,1657.8854,-1.071997,-16.358662,1596.2461,84.241714,-13.297449,1667.5648,-1.8301064,31.775305,1599.9302,96.60238,35.11738,1672.0533
5,1.1810296,-7.594565,1624.8196,0.4849541,58.595345,1631.0642,1.4975752,59.847378,1641.0547,0.9649628,-90.69419,1600.3291,-1.3285099,329.0003,1708.952,-23.393295,323.7956,1725.3098,-6.3300776,-188.53685,1587.2893,24.21525,657.17236,1804.5286,-27.827503,651.31366,1815.4657,-8.230278,-215.52322,1578.7106,29.30264,744.3314,1825.4662,-31.891218,738.6951,1845.7731,-6.4870553,-348.45554,1586.9408,-12.463218,-285.34198,1568.8884,-2.1981041,-285.017,1584.6959,-0.7813393,-410.5748,1574.2849,-28.757391,-300.14197,1575.8859,19.31277,-295.6222,1612.8075,-4.909284,-143.0889,1593.7389,43.454227,-141.55072,1650.1182,-0.11113205,-14.9797535,1588.0667,85.51089,-12.197884,1660.0032,-0.9728531,32.92705,1591.8684,98.03166,36.026882,1664.6246
6,0.739695,-7.3021293,1626.8849,0.096896365,58.649685,1632.774,1.5944647,59.81888,1643.2904,0.45917892,-90.216774,1602.4872,-0.9190483,329.48096,1709.8577,-22.15771,324.1254,1727.7382,-7.3965697,-187.77226,1589.7107,26.584131,656.6359,1805.0469,-25.154144,651.0892,1817.5055,-9.359981,-214.52762,1581.1924,31.294739,744.31415,1825.8026,-29.498724,738.6906,1848.2588,-7.4925323,-347.21774,1589.8988,-13.766913,-284.41895,1571.4751,-3.0537705,-283.96533,1587.7538,-1.7785752,-409.52478,1577.5321,-30.677881,-299.18295,1578.3608,18.487543,-294.76077,1616.1185,-6.6477923,-141.89705,1595.3724,42.489937,-140.7978,1653.2948,-1.8231049,-14.24118,1589.7001,84.57377,-11.123104,1663.5765,-2.894738,33.471317,1593.3624,97.05171,37.11838,1668.2225
7,-0.8551197,-6.982782,1627.5552,-1.6235459,59.051735,1633.4802,0.03221283,60.324562,1643.7133,-1.0027589,-90.02697,1603.1411,-2.5444043,330.0408,1710.9677,-23.353765,325.0643,1728.034,-8.497012,-187.459,1590.5225,24.697584,657.5805,1805.8759,-26.337896,652.31116,1817.7932,-10.358088,-214.20006,1581.971,29.556568,744.7148,1826.6458,-30.62974,739.4689,1848.4758,-8.378523,-347.05405,1590.9867,-14.820823,-284.16,1572.5034,-3.776886,-283.69138,1588.6337,-2.6515503,-409.5318,1578.8168,-32.258167,-298.9876,1579.5819,18.108229,-294.37042,1616.9818,-8.704003,-141.317,1596.6107,41.729183,-140.11827,1653.6871,-3.732174,-13.540346,1591.0228,83.888054,-10.672149,1664.0768,-4.597909,34.025127,1594.6754,96.58993,37.71676,1668.5684
8,-0.27486154,-7.5506454,1625.9071,-0.9372185,58.41855,1632.058,0.20440407,59.80967,1642.0902,-0.45034334,-90.691,1601.5405,-1.7138668,329.33057,1709.6893,-23.278435,324.3326,1726.3213,-7.9388566,-188.38847,1588.7001,25.177645,657.1701,1804.6484,-26.235022,651.8806,1816.3838,-9.719826,-215.14363,1580.0688,30.187765,744.03467,1825.1855,-30.331562,738.5693,1846.8303,-8.352623,-348.29062,1588.8442,-14.26683,-285.22922,1570.6605,-3.5596726,-284.78683,1586.5299,-2.3786094,-410.50415,1576.3624,-31.25777,-299.99878,1577.9019,17.797287,-295.20187,1614.3768,-7.401422,-142.37059,1595.6615,41.129543,-140.99274,1651.264,-1.2917511,-14.252231,1590.0304,84.06493,-11.278197,1661.2754,-1.3863442,33.653,1593.2938,97.35048,36.926643,1665.7294
9,-1.6212895,-9.378974,1625.9318,-2.2912343,56.915077,1632.1393,-1.4953804,58.011414,1642.3529,-1.4488319,-92.453445,1601.6473,-2.5274723,328.23743,1709.6288,-25.317942,322.96262,1726.5887,-9.14176,-190.66232,1588.4965,24.441418,656.40405,1804.7643,-27.557322,650.5443,1816.9729,-10.956908,-217.60767,1579.7748,29.536612,743.0033,1824.889,-32.114918,737.4566,1847.055,-8.042135,-350.9416,1588.2473,-14.126947,-287.67245,1570.239,-4.4421678,-287.51163,1586.0735,-1.8197098,-412.69254,1575.5133,-30.261719,-302.12122,1577.0907,16.265951,-298.08896,1614.1376,-7.5621095,-144.91377,1594.5977,39.350132,-144.07983,1651.5032,-1.159819,-16.803991,1588.1058,82.43805,-13.753662,1661.0862,-0.6711823,30.832037,1591.1942,95.814445,34.673855,1665.6859
