frame_index,joint_0_x,joint_0_y,joint_0_z,joint_1_x,joint_1_y,joint_1_z,joint_2_x,joint_2_y,joint_2_z,joint_3_x,joint_3_y,joint_3_z,joint_4_x,joint_4_y,joint_4_z,joint_5_x,joint_5_y,joint_5_z,joint_6_x,joint_6_y,joint_6_z,joint_7_x,joint_7_y,joint_7_z,joint_8_x,joint_8_y,joint_8_z,joint_9_x,joint_9_y,joint_9_z,joint_10_x,joint_10_y,joint_10_z,joint_11_x,joint_11_y,joint_11_z,joint_12_x,joint_12_y,joint_12_z,joint_13_x,joint_13_y,joint_13_z,joint_14_x,joint_14_y,joint_14_z,joint_15_x,joint_15_y,joint_15_z,joint_16_x,joint_16_y,joint_16_z,joint_17_x,joint_17_y,joint_17_z,joint_18_x,joint_18_y,joint_18_z,joint_19_x,joint_19_y,joint_19_z,joint_20_x,joint_20_y,joint_20_z,joint_21_x,joint_21_y,joint_21_z,joint_22_x,joint_22_y,joint_22_z,joint_23_x,joint_23_y,joint_23_z
0,6.336641,-26.114714,1970.3778,13.960639,48.383717,1975.7928,17.01715,49.633892,1980.1096,9.330409,-113.8204,1951.5258,10.619201,358.62622,2054.875,-16.536016,360.65536,2055.7734,-6.0073266,-205.50845,1937.3915,13.161412,685.92694,2141.838,-53.75171,684.7923,2134.508,-10.791308,-229.56798,1932.8174,4.691986,783.164,2160.447,-74.63756,777.5902,2154.8767,-5.4278045,-358.35464,1938.6454,-14.878199,-297.54086,1929.425,0.67928314,-296.2772,1938.1649,-7.3001914,-416.24454,1940.2592,-41.157986,-315.41647,1936.1312,12.935634,-312.59665,1957.5277,-15.684073,-170.63461,1963.3235,34.679794,-173.3162,1989.3297,-29.728947,-47.449337,1963.6702,56.000526,-47.18765,1988.0736,-32.942135,-5.243708,1970.6246,62.255867,-3.1077392,1988.861
1,10.1292715,-19.018774,2048.2004,20.285223,53.297413,2055.3564,20.043297,54.46285,2059.2332,12.060077,-105.201195,2029.4344,24.211573,363.70364,2136.4136,-9.925365,365.2413,2136.266,-2.0073335,-194.98251,2014.7178,24.500183,693.3664,2219.9387,-46.453514,693.16644,2212.7524,-6.839218,-219.41844,2008.8174,12.309534,793.07275,2236.279,-67.86161,787.59454,2229.266,-3.847863,-351.05835,2012.1068,-8.655414,-290.80356,2006.7109,0.6985674,-287.60193,2014.4795,-6.2148867,-408.272,2015.0104,-31.285711,-307.32123,2009.3641,6.378034,-301.4253,2029.7875,-9.244651,-159.49606,2042.5924,25.949,-159.97847,2063.1018,-19.336134,-43.376698,2043.996,41.344414,-41.140926,2058.1062,-16.395634,-4.3341823,2047.4635,50.175804,-1.7811092,2056.5718
2,16.25488,-6.4182315,1918.4193,24.872498,62.97301,1924.9586,25.613224,64.18657,1929.8866,17.235401,-91.10816,1898.459,20.076675,363.5016,2003.2155,-7.5741425,362.99658,2007.8641,6.5450845,-183.5526,1885.5947,21.190237,695.43134,2088.2385,-37.9136,694.17474,2084.169,2.6962152,-207.45625,1879.3496,11.313597,786.4889,2108.7312,-54.380116,779.8735,2106.5015,5.7069273,-337.26425,1885.4417,0.89703876,-278.5309,1877.3391,10.672721,-275.32672,1885.9261,2.745657,-393.63574,1885.6967,-20.86711,-293.73523,1880.5585,18.286346,-287.34573,1901.9918,-0.026735783,-143.02487,1908.8242,37.96813,-140.34222,1931.9264,-12.69476,-26.617262,1913.4297,55.48422,-21.703455,1930.6171,-13.557111,16.171942,1917.6301,62.019337,20.565233,1931.9648
3,16.0593,-4.4136467,1870.9446,24.337843,64.03314,1877.3688,24.362106,65.425514,1882.0277,17.622892,-87.91553,1850.6725,19.20342,359.28903,1954.569,-8.912978,358.84415,1959.2405,8.779398,-180.70215,1838.723,19.75305,689.19696,2040.4723,-38.45895,687.9946,2036.4027,5.6744304,-204.28465,1832.4131,11.155208,777.52106,2061.493,-54.426357,771.23267,2059.3708,10.757128,-332.3941,1840.1748,5.096533,-274.87057,1831.0594,13.5436325,-271.49677,1839.3235,9.536433,-387.48447,1839.1031,-15.111669,-290.55093,1835.693,21.435883,-282.8868,1855.3225,4.106064,-139.6389,1863.175,38.854557,-135.0287,1884.0627,-10.078267,-23.229744,1868.0979,54.827724,-16.505896,1882.7623,-11.783206,20.411219,1872.6926,60.991657,26.18841,1884.7454
4,13.828374,-7.9834504,1885.6481,21.745356,60.402973,1892.2815,21.32985,61.489635,1897.2363,15.67768,-91.193214,1865.0934,19.367996,353.6573,1969.4762,-10.601883,353.0404,1975.5465,6.5116286,-183.94612,1852.7477,19.050238,684.3495,2054.5642,-43.019295,682.90814,2052.351,2.9342344,-207.97229,1846.4813,8.422616,775.21893,2074.824,-60.259247,767.6183,2074.9216,7.145389,-336.86984,1852.5573,3.0009353,-279.0919,1844.6594,10.089673,-275.77368,1852.4948,5.6974535,-392.13095,1851.683,-16.144413,-294.78094,1848.6171,17.614742,-287.25482,1868.2516,3.6670678,-142.75078,1876.0992,34.62212,-139.62926,1897.7747,-7.967708,-26.314829,1880.7666,52.26228,-20.362593,1897.0397,-7.224193,16.350197,1885.2239,60.875732,22.122877,1899.732
5,11.167914,-7.540979,1885.1914,18.978733,60.451977,1892.2845,19.13001,61.449703,1896.6901,13.199191,-90.74453,1864.2793,15.390485,354.1865,1970.2549,-12.898786,353.92764,1975.498,4.816362,-183.23479,1852.0475,15.213715,685.61975,2054.9902,-44.654736,684.85266,2052.5203,1.551856,-207.23201,1845.6621,5.362306,776.489,2075.5994,-60.382946,769.9673,2075.4395,5.711221,-335.91064,1851.476,2.011118,-278.22067,1843.8743,8.284403,-274.88913,1851.4131,5.298673,-391.0566,1850.7366,-17.009,-293.64557,1848.037,14.583753,-286.06784,1866.415,2.7352338,-142.32524,1876.6981,32.376232,-138.5769,1895.986,-10.81313,-25.875568,1882.1715,47.111904,-19.268599,1894.942,-10.898691,17.098417,1886.4471,54.23133,23.540222,1896.6881
6,16.545465,-8.003729,1944.5077,24.092186,61.659218,1950.7643,24.920921,62.41971,1956.347,19.087248,-92.64938,1924.5104,20.653128,362.91864,2028.8762,-7.6804996,362.2031,2035.4196,8.602974,-185.17914,1911.5289,22.24174,692.87445,2112.8052,-38.72157,691.7216,2111.239,4.5235147,-210.00284,1905.3939,10.582594,785.7801,2130.8572,-58.750343,778.71173,2131.909,7.8010864,-341.19012,1910.6051,3.7702248,-281.8894,1902.7822,11.246337,-278.50937,1912.1312,5.596456,-398.6022,1911.5077,-16.33543,-298.27237,1904.8157,17.875586,-290.65564,1928.6575,4.864343,-145.894,1933.1478,38.554596,-143.49246,1960.8805,-8.161493,-31.30345,1938.0344,55.65611,-25.158583,1959.9965,-7.239292,9.781203,1941.3356,63.73869,16.161222,1960.8451
7,16.969767,-4.389803,1866.1898,23.254969,63.476147,1872.8801,24.23774,64.85174,1877.1409,19.26515,-87.693375,1845.4502,20.149178,355.86172,1949.6399,-5.415207,355.44528,1955.4413,10.4403715,-181.57689,1833.509,23.086432,686.60596,2034.3346,-32.300755,685.23755,2032.1768,7.3434143,-205.87915,1827.4014,12.258628,774.1399,2055.5623,-48.741016,767.6359,2055.7107,9.893898,-336.2115,1834.683,6.4957747,-277.4847,1825.9606,13.520144,-274.0994,1833.7493,9.270335,-392.13586,1833.8231,-11.948688,-292.85748,1830.2919,20.883223,-285.22113,1849.0645,8.345848,-140.22948,1857.6395,40.06518,-135.29929,1876.9647,-5.1494646,-24.381742,1863.518,59.279274,-16.424839,1877.4065,-5.095198,19.241962,1866.8236,67.32175,26.0567,1879.6656
8,14.439348,-10.166125,1908.5139,22.23414,57.76542,1915.4774,22.963947,59.271557,1919.833,16.541876,-93.70993,1888.2178,21.460043,353.14774,1992.8698,-5.041549,352.0825,1999.4309,6.831905,-185.74312,1875.5413,25.39681,683.31604,2077.2578,-34.041607,682.80695,2075.2908,2.5869083,-210.18777,1869.32,12.575078,775.4186,2097.3245,-51.885036,768.54974,2097.259,3.7461674,-340.16525,1874.286,1.5637162,-281.5748,1867.5527,8.540886,-277.77573,1874.707,1.4330148,-395.88184,1873.8564,-17.227354,-297.0511,1871.0383,14.682001,-288.77472,1889.2738,2.634899,-146.12126,1901.0754,34.367836,-141.40192,1918.5123,-10.621241,-30.045801,1906.9144,50.14654,-22.359962,1918.123,-9.486336,12.149804,1910.3157,59.386745,18.858206,1920.557
9,16.53153,-8.260656,1898.1172,24.299118,59.606037,1904.9055,24.895905,61.00143,1909.39,18.242813,-91.96719,1877.6678,22.184534,355.95938,1983.1458,-3.3177261,355.11813,1989.1166,9.538299,-184.74376,1865.3477,26.234543,685.9337,2067.216,-31.626501,684.43353,2064.7922,5.804756,-209.25609,1859.051,15.021558,776.775,2087.234,-48.740894,769.886,2087.0369,7.4457335,-339.28793,1864.5035,4.5532713,-280.95383,1856.8508,12.09234,-276.76987,1864.3958,4.4775615,-395.16257,1864.6471,-14.382586,-296.60928,1860.2715,18.940348,-287.61426,1879.891,5.7287264,-143.98001,1889.5433,38.6581,-138.53172,1909.1406,-11.452849,-27.00506,1895.8184,50.557426,-19.063698,1909.1044,-13.148674,15.296931,1899.6758,56.580727,22.611334,1910.889
